municipality_name,topic_id,primary_category,representation,budget_allocation,impacted_stakeholders,summary,related_doc_count
Orange County,0,"waste management, stormwater, and infrastructure","['recycling', 'waste', 'stars', 'gas', 'material', 'methane', 'recycle', 'composting', 'cart', 'organic']",,"['Orange County households', 'residents', 'Orange County Solid Waste Department', 'Southeast Recycling Development Council', 'North Carolina Department of Environmental Quality']","The Orange County Solid Waste Department's 'Recycling Stars Program' aims to enhance the quality and quantity of household recyclables by educating residents on proper recycling practices through cart inspections, personalized feedback, and rewards for correct recycling, which has resulted in a 59% improvement in inspected carts.",3
Orange County,1,"police, fire, and emergency response","['emergency', 'kit', 'disaster', 'orange', 'weather', 'heat', 'preparedness', 'county', 'alerts', 'shelters']",,"['Orange County residents', 'families', 'older adults', 'pet owners', 'Duke Power customers', 'Piedmont Electric customers', 'PSNC customers', 'Department of Social Services', 'Health Department', 'Animal Services', 'American Red Cross', 'Community Emergency Response Team (CERT)', 'Public Health Reserve Corps']","Orange County's 'Ready Orange' initiative serves as a comprehensive resource for disaster and emergency preparedness, encouraging residents to sign up for alerts, build family emergency kits, create plans, and providing information on emergency shelters and utility outage reporting.",3
Orange County,2,"town governance, human resources, and board appointments","['aging', 'yr', 'implementation', 'final', 'master', 'senior', 'plan', 'guide', 'activity', '2017']",,"['older adults in Orange County', 'Orange County Department on Aging', 'community members']","The Orange County Department on Aging implements a five-year Master Aging Plan (MAP) to ensure comprehensive and coordinated delivery of community services and support, fostering lifelong engagement and well-being for the county's growing older adult population.",3
Orange County,3,uncategorized initiatives,"['health', 'healthy', 'assessment', 'education', 'department', 'data', 'american', 'association', 'cha', 'national']",,"['residents', 'community members', 'partners', 'Board of Health', 'Health Department staff', 'Health educators']","The Health Promotion and Education Services team in Orange County designs, implements, and evaluates health education programs, working with partners across the county. Key activities include sharing health information, creating communication campaigns, hosting trainings, planning programs, and attending health fairs. Specific programs include supporting the Board of Health, Healthy Carolinians of Orange County (improving health and wellness, creating health assessments), Quit Nicotine for Good! (group classes and counseling), and promoting Smoke-Free Orange County policies.",3
Orange County,4,uncategorized initiatives,"['foster', 'adoption', 'pet', 'meet', 'greets', 'kitten', 'ocas', 'fosters', 'card', 'fostering']",,"['foster parents', 'adopters', 'pets', 'Orange County Animal Services (OCAS) staff', 'community members']","Orange County Animal Services (OCAS) runs a Foster Parent Hub to support fostering pets, aiming to reduce shelter stress and facilitate adoptions. The program encourages pet promotion through report cards and participation in adoption events like 'Foster Feature Saturdays'. It also provides resources for foster medical visits, including an emergency line and scheduled appointments, and detailed resources for fostering kittens, including neonatal training and weaning guidance. OCAS has an adoption policy for foster parents, emphasizing a first-come, first-served basis and staff decision-making.",3
Orange County,5,"waste management, stormwater, and infrastructure","['conservation', 'water', 'agricultural', 'soil', 'district', 'lands', 'share', 'cost', 'quality', 'landowners']",,"['Orange County landowners', 'operators', 'agricultural community', 'residential buildings', 'commercial buildings', 'public buildings', 'private buildings', 'youth', 'adults', 'North Carolina Forest Service']","The Orange County Soil & Water Conservation District provides technical, financial, and educational assistance to landowners and operators on erosion control and water quality. They offer cost-share programs, typically covering 75% of costs, to implement best management practices for agricultural, rural, and urban water quality and resource issues. Services include animal waste management, conservation planning, nutrient management, riparian restoration, sediment control, stream bank stabilization, voluntary agriculture and farmland preservation programs, closure of abandoned wells, community conservation assistance (CCAP), educational programs, forestry management, and wildlife habitat improvement.",3
Orange County,6,"town governance, human resources, and board appointments","['board', 'boards', 'application', 'pdf', 'appointed', 'commission', 'volunteer', 'requirements', 'equalization', 'review']",,"['Orange County residents', 'volunteers', 'Board of County Commissioners', ""Clerk's Office"", 'youth']","Orange County encourages residents to volunteer for its various boards and commissions to influence county decisions. The program emphasizes diverse representation and outlines general requirements for service, including age, residency, attendance, and ethical compliance. Specific boards like Equalization and Review, Economic Development Advisory, Board of Adjustment, and Planning Board require disclosure statements. The county provides an online application process and manages appointments as vacancies occur, with applications remaining active for two years.",3
Orange County,7,"town governance, human resources, and board appointments","['library', 'room', 'office', 'accounts', 'chapel', 'hill', 'quicklinks', 'main', 'division', 'study']",,"['Orange County residents', 'community members']","Orange County departments utilize various social media platforms, including Facebook, Twitter, Instagram, and YouTube, to enhance outreach efforts and provide notifications to residents. Departments maintaining these accounts include Government, Department on Aging, Animal Services, Arts Commission, DEAPR, Health Department, Library, Partnership to End Homelessness, Recreation, Sheriff, Economic Development, Emergency Services, Solid Waste Management, Tax Office, and Visit Chapel Hill & Orange County.",3
Orange County,8,"town governance, human resources, and board appointments","['departments', 'government', 'relations', 'library', 'county', 'academy', 'present', 'community', 'cohort', 'services']",,"['Orange County residents', 'county staff', 'Board of County Commissioners']","The Orange County Government Academy is an eight-week program designed to educate residents aged 16 and older about the operations of Orange County government. It includes interactive learning sessions with UNC School of Government faculty and county staff from over 19 departments, as well as exclusive tours of county facilities like the 911 Call Center, Animal Services, and the Drakeford Library Complex. The program aims to foster community engagement and understanding of how residents can contribute to the community.",3
Orange County,9,"parks, recreation, and public art","['hikes', 'dogs', 'hounds', 'dog', 'adventures', 'adventure', 'park', 'hike', 'explore', 'trails']",,"['adoptable dogs', 'volunteers', 'Orange County Animal Services', 'Orange County Department of Environment, Agriculture, Parks and Recreation', 'community members']","Hikes with Hounds is a monthly enrichment program collaboration between Orange County Animal Services and the Department of Environment, Agriculture, Parks and Recreation. It allows adoptable dogs to leave the shelter for guided 3-mile hikes at Blackwood Farm Park with pre-registered volunteers. The program aims to provide mental and physical enrichment for dogs, offer meaningful volunteer experiences, increase community engagement and visibility for dogs needing homes, and support positive leash skills and socialization. Advance registration is required due to limited participation.",3
Orange County,10,uncategorized initiatives,"['cats', 'birds', 'loose', 'ingested', 'roaming', 'toxins', 'poisons', 'wild', 'cars', 'cruelty']",,"['free-roaming cats', 'birds', 'small animals', 'residents', 'animal control']","Orange County Animal Services highlights safety and environmental concerns associated with free-roaming cats. These include risks to cats from cars, animal cruelty, attacks by loose dogs and wild animals, and exposure to toxins like antifreeze and rodent poisons. Additionally, free-roaming cats pose a significant threat to bird populations and other small animals due to their strong prey drive, with millions of birds estimated to be killed annually by loose cats.",3
Orange County,11,uncategorized initiatives,"['holiday', 'toy', 'toys', 'children', 'social', 'friends', 'donations', 'families', 'department', 'program']",,"['needy Orange County families', 'Orange County children', 'foster children', 'teen parents', 'young men and women', 'Department of Social Services (DSS) staff', 'volunteers', 'donors']","The Orange County Department of Social Services (DSS) offers various volunteer and donor opportunities to support local families and children. Programs include Foster Parenting (providing temporary homes for children in crisis), a Holiday Program (providing food and gifts to needy families), an Adolescent Parenting Program (mentoring teen parents for high school degrees and pregnancy prevention), and a Summer Camp Program (enabling children to attend camp). Additionally, the 'Friends of DSS' initiative helps with financial emergencies, material resources, and volunteer recruitment for staff support. The Heusner Fund assists foster children with college tuition and materials.",3
Orange County,12,uncategorized initiatives,"['spay', 'neuter', 'roaming', 'cats', 'free', 'spaying', 'neutering', 'cat', 'overpopulation', 'community']",,"['pet owners', 'DSS clients', 'income-qualified residents', 'pets', 'free-roaming cats', 'community cat caretakers', 'Orange County Animal Services (OCAS)', 'community members']","Orange County Animal Services (OCAS) implements spay/neuter programs to control pet overpopulation and reduce unwanted litters, aiming for a healthier community and fewer shelter animals. They offer no-cost spay/neuter vouchers for DSS clients and income-qualified residents, and provide information on low-cost options. A specific community cat spay/neuter program targets free-roaming, often feral or semi-feral, cats with the help of community cat caretakers for trapping, requiring a refundable deposit for traps. This approach aims to humanely manage free-roaming cat populations rather than just removing them.",3
Orange County,13,uncategorized initiatives,"['volunteer', 'volunteers', 'dog', 'training', 'support', 'opportunities', 'species', 'volunteering', 'dogs', 'shifts']",,"['volunteers', 'dogs', 'cats', 'kittens', 'community members', 'Orange County Animal Services']","Orange County Animal Services offers a comprehensive volunteer program to provide enrichment, comfort, and care for animals. Opportunities include dog walking, cat socialization, grooming, adoption support, event assistance, and community outreach. The program involves an application, virtual and in-person training, and mentored shifts, with specialized tracks for dog and cat volunteering, fostering, and 'Dog Adventures' programs.",3
Orange County,14,affordable housing and zoning,"['social', 'residents', 'live', 'safe', 'services', 'department', 'families', 'self', 'healthy', 'able']",,"['vulnerable children', 'at-risk elderly', 'persons with disabilities', 'economically disadvantaged', 'all Orange County residents', 'low-income families', 'families', 'individuals']","The Orange County Department of Social Services provides preventive, supportive, and restorative services to protect vulnerable children, the at-risk elderly, persons with disabilities, and the economically disadvantaged. Key goals include ensuring safe and healthy lives for all residents, access to safe and affordable housing, food security, and promoting self-sufficiency and independence within stable family environments.",3
Orange County,15,"police, fire, and emergency response","['individuals', 'justice', 'criminal', 'court', 'cjrd', 'legal', 'pretrial', 'diversion', 'incarceration', 'substance']",,"[""individuals involved in Orange County's criminal legal system"", 'individuals in custody or at risk of incarceration', 'youth', 'adults with behavioral health diagnoses', 'people experiencing homelessness', 'formerly incarcerated people', 'low-income, justice-involved individuals', 'parents with abuse/neglect/dependency cases']","The Orange County Criminal Justice Resource Department (CJRD) aims to safely reduce unnecessary pretrial incarceration, increase jail alternatives and diversion opportunities, reduce justice involvement for individuals with behavioral health issues, reduce recidivism, and address racial and economic disparities. Programs include Pretrial Services, Behavioral Health Services, various Diversion and Deflection Programs, Recovery Courts, Restoration Legal Counsel, a Local Reentry Council, and collaborations for Street Outreach, Harm Reduction and Deflection (SOHRAD) and the Partnership to End Homelessness.",3
Orange County,16,uncategorized initiatives,"['donation', 'donate', 'gofundme', 'fund', 'recovery', 'donations', 'allocated', 'lifesaving', 'areas', 'amazon']",,"['donors', 'Orange County Animal Services', 'small businesses (for economic recovery fund)', 'animals (for lifesaving programs)']","Orange County facilitates public donations through a General Recovery Fund, which allocates resources to various recovery areas including economic support for small businesses, and a GoFundMe portal dedicated to supporting Orange County Animal Services' lifesaving programs.",3
Orange County,17,uncategorized initiatives,"['kittens', 'kitten', 'foster', 'neonatal', 'kmr', 'wet', 'weaning', 'wean', 'feeding', 'food']",,"['kittens', 'pregnant cats', 'foster parents', 'Orange County Animal Services', 'community members']","Orange County Animal Services operates a Kitten Foster Program to provide temporary homes and care for young kittens, particularly during 'kitten season,' to reduce shelter populations, promote socialization, and prevent disease. The program offers supplies, medical support, 24-hour assistance, and online neonatal kitten training resources covering feeding, weaning, and health monitoring.",3
Orange County,18,"town governance, human resources, and board appointments","['extension', 'tiana', 'ncacc', 'recognition', 'award', 'north', 'county', 'service', 'association', 'scholarship']",2500.0,"['Orange County Health Director Quintana Stewart', 'Orange County Cooperative Extension Center', 'County Extension Director Jonathon Smith', 'Tiana Oxendine (student)', 'Orange County Commissioner Phyllis Portie-Ascott', 'public servants', 'county governments', 'students']","Orange County was recognized at the North Carolina Association of County Commissioners (NCACC) Annual Conference. Achievements include the Orange County Health Director receiving a Heroic Hands initiative recognition for public service, the Cooperative Extension Center being named runner-up for the North Central District Extension County Partnership Award, and student Tiana Oxendine receiving a $2,500 scholarship from the North Carolina Association of Black County Commissioners.",3
Orange County,19,uncategorized initiatives,"['cats', 'animals', 'shelter', 'rehomed', 'working', 'dogs', 'ocas', 'community', 'organizations', 'responses']",,"['animals (cats, dogs, kittens)', 'pet owners', 'community members', 'Orange County Animal Services', 'volunteers', 'student interns']","Orange County Animal Services reported key achievements in 2022 and 2023, demonstrating high live release rates for animals, successful fostering programs for kittens, rehoming of working barn cats, widespread rabies vaccinations, efficient response to service calls, extensive spay/neuter services for community animals, significant volunteer engagement, and effective diversion of community cats from the shelter.",3
Orange County,20,uncategorized initiatives,"['lost', 'recently', 'microchip', 'housed', 'currently', 'pet', 'reported', 'pets', 'center', 'animal']",,"['pet owners', 'community members', 'Orange County Animal Services', 'stray pets']","Orange County Animal Services provides comprehensive resources for residents to find lost pets and report found pets. These resources include viewing animals currently housed at the shelter, filing online lost/found reports, utilizing popular external pet recovery websites, accessing microchip scanning stations, and offering tips for community outreach to aid in pet reunification.",3
Orange County,21,affordable housing and zoning,"['tax', 'assistance', 'property', 'disabled', 'exclusion', 'programs', 'evaluator', 'elderly', 'veteran', 'value']",,"['elderly residents', 'permanently disabled residents', 'disabled American veterans', 'low-income families', 'builders', 'homeowners']","Orange County offers multiple property tax assistance programs, including state-provided Elderly and Disabled Exclusion, Disabled Veteran Exclusion, and Circuit Breaker Tax Deferment. Additionally, county programs like Solid Waste Programs Fee Financial Assistance, Exempt Property, Present Use Value, Builder Property Tax Exclusion, and a Longtime Homeowners Assistance Program are available to help eligible residents reduce their property tax burden.",3
Orange County,22,"town governance, human resources, and board appointments","['resource', 'guide', 'database', 'search', 'community', 'list', 'organization', 'recreation', 'lists', 'business']",,"['older adults', 'families', 'businesses', 'organizations', 'Orange County residents']","Orange County maintains a Community Resource Guide Database that lists local services and resources specifically for older adults and their families. This guide is regularly updated, available for download, and allows businesses and organizations to submit their listings to better serve the community.",3
Orange County,23,"town governance, human resources, and board appointments","['budget', 'annual', 'fiscal', 'year', 'prepare', 'operating', 'division', '30', 'oversees', 'updating']",,"['Orange County residents', 'County departments', 'Board of County Commissioners', 'County staff']","Orange County's annual operating budget process, managed by the Budget Division, involves preparing annual requests from departments, setting tax rates and fee schedules, and monitoring the budget throughout the fiscal year. The Board of County Commissioners provides final approval.",3
Orange County,24,"town governance, human resources, and board appointments","['asab', 'animal', 'meeting', 'board', 'agenda', 'advisory', 'concern', 'concerns', 'comments', 'issues']",,"['Orange County residents', 'Animal Services Director', 'Board of County Commissioners', 'ASAB members', 'Pet owners', 'Animal welfare advocates']","The Orange County Animal Services Advisory Board (ASAB) is a volunteer board appointed by the Board of County Commissioners to advise on animal issues and services. It hears concerns from residents, works with the Animal Services Director on policy, and handles appeals for potentially dangerous dog declarations.",3
Orange County,25,uncategorized initiatives,"['donate', 'donations', 'donation', 'honor', 'person', 'thank', 'animal', 'chapel', 'hill', 'depend']",,"['Donors', 'Orange County Animal Services', 'Animals in need', 'Chapel Hill residents', 'Pet owners']","Orange County Animal Services encourages monetary donations in honor or memory of beloved persons or pets to support its lifesaving programs and services. Donations can be made in-person, by mail, or online through the Community Giving Fund or GoFundMe, with options for acknowledgment to friends or family.",3
Orange County,26,uncategorized initiatives,"['placement', 'ocas', 'partner', 'rescue', 'groups', 'rescues', 'benefits', 'organizations', 'animals', 'lives']",,"['Orange County Animal Services (OCAS)', 'Area rescue organizations', 'Animals needing homes', 'Adopters']","Orange County Animal Services (OCAS) partners with area rescue organizations for the placement of adoptable animals. OCAS offers benefits like free vaccines and some medical services, as well as low-fee sterilization and microchipping, to these rescue groups to improve the lives of companion animals.",3
Orange County,27,"town governance, human resources, and board appointments","['rights', 'civil', 'discrimination', 'complaint', 'believe', 'ordinance', 'steps', 'operator', 'civic', 'life']",,"['Orange County residents', 'Individuals experiencing discrimination', 'Office of Civil Rights & Civic Life', 'County services', 'Housing providers', 'Public accommodations']","Orange County enforces civil rights protections against discrimination in housing, public accommodations, and county services through its Civil Rights Ordinance. The Office of Civil Rights & Civic Life provides free, confidential support and assists residents in filing complaints if they believe discrimination has occurred.",3
Orange County,28,"police, fire, and emergency response","['rabies', 'testing', 'bats', 'wild', 'animal', 'exposure', 'animals', 'contact', 'carry', 'cat']",,"['Pet owners', 'Orange County residents', 'Animal Control', 'Veterinarians', 'Public health officials', 'Wild animals']","Orange County mandates rabies vaccination for cats, dogs, and ferrets, and provides guidance on contact with potentially rabid wild animals, especially bats. Animal Control responds to exposures, and testing is conducted to determine the need for post-exposure prophylaxis for humans or isolation for domestic animals.",3
Orange County,29,"town governance, human resources, and board appointments","['fund', 'gifts', 'giving', 'donations', 'truist', 'gift', 'tax', 'sponsored', 'charitable', 'community']",,"['Donors', 'Orange County government departments', 'County-sponsored activities', 'Community members benefiting from services']",The Orange County Community Giving Fund is an encompassing fund managed by Truist Bank that allows tax-deductible donations to support any county department or county-sponsored activity. It provides a framework for receiving various charitable gifts.,3
Orange County,30,"town governance, human resources, and board appointments","['direct', 'care', 'worker', 'sharp', 'clients', 'awards', 'workers', 'nomination', 'categories', 'winners']",,"['Direct Care Workers', 'Clients receiving care', 'Orange County Department on Aging', 'Senior Health Advocacy and Resource Partners of Orange County (SHARP)', 'Project EngAGE']","The Orange County Department on Aging, in partnership with SHARP, recognizes Direct Care Workers serving clients in Orange County through annual awards. These awards celebrate workers in categories like Client Impact, Going the Extra Mile, Leadership, Longevity, and Rising Star, culminating in a 'Direct Care Worker of the Year' award.",3
Orange County,31,"town governance, human resources, and board appointments","['achievements', 'involved', 'reports', 'overview', 'departments', 'animal', 'government', 'home', 'services', 'resources']",,"['Orange County Animal Services', 'Orange County government', 'Residents interested in animal services performance']","Orange County Animal Services provides an 'Overview of Achievements' through reports and resources, detailing their accomplishments and performance for the year.",3
Orange County,32,affordable housing and zoning,"['submittable', 'referral', 'use', 'applications', 'application', 'online', 'epic', 'carelink', 'lhap', 'documentation']",,"['Orange County residents in need of housing assistance', 'Applicants for EHA/LHAP', 'County staff processing applications']","Orange County utilizes Submittable as an online portal to process applications for housing assistance programs, including Emergency Housing Assistance (EHA) and the Limited Housing Assistance Program (LHAP), making the application process accessible to residents.",3
Orange County,33,"town governance, human resources, and board appointments","['accommodation', 'language', 'video', 'format', 'office', 'need', 'contact', 'require', 'information', 'materials']",,"['Residents needing accessibility accommodations', 'Non-English speaking residents']","Orange County provides language assistance and accessibility support to residents who need information in different languages or formats, or require accommodations to access services or file complaints.",3
Orange County,34,public transportation and roads,"['transportation', 'bus', 'specialist', 'buses', 'fare', 'door', 'ride', 'route', '717', 'traveling']",,"['Older adults', 'Non-drivers', 'Residents needing public transit']","Orange County offers a Transportation Specialist service to help older adults and non-drivers identify transportation options, access services, and navigate public transit, including bus riding classes and workshops.",3
Orange County,35,uncategorized initiatives,"['introducing', 'pet', 'start', 'days', 'settling', 'cautious', 'probably', 'comfortable', 'new', 'patience']",,"['New pet owners', 'Pets']","Orange County provides guidelines for introducing new pets into a home, emphasizing patience and a '3-3-3 Rule' to help pets adjust over time.",3
Orange County,36,"police, fire, and emergency response","['infants', 'sleep', 'english', 'educational', 'materials', 'preventing', 'identifying', 'firearms', 'gun', 'safe']",,"['Families with infants', 'Children', 'Gun owners', 'Parents']","Orange County Social Services provides educational materials in English and Spanish to help families prevent child abuse, ensure safe sleep for infants, safely store firearms, and keep medication out of reach of children.",3
Orange County,37,uncategorized initiatives,"['rescue', 'placement', 'partner', 'sanctuaries', 'sanctuary', 'rescues', 'guinea', 'pig', 'pact', 'chicken']",,"['Pet owners needing to rehome pets', 'Animals']","Orange County provides a list of external pet rescue and sanctuary organizations to assist pet owners in finding placement for their animals, aiming to reduce the number of animals in shelters.",3
Orange County,38,"town governance, human resources, and board appointments","['records', 'request', 'public', 'portal', 'confidential', 'submit', 'north', 'carolina', 'record', 'online']",,"['General public', 'Residents']","Orange County Government maintains public records and provides an online Public Records Request Portal, Next Request, for residents to submit and track requests in accordance with North Carolina State Public Records Laws.",3
Orange County,39,"town governance, human resources, and board appointments","['gazette', 'government', 'latest', 'news', 'newsletter', 'included', 'highlights', 'orange', '2026', 'month']",,"['Residents', 'General public']","Orange County Government publishes a monthly 'Government Gazette' in The News of Orange, highlighting county programs and services to keep residents informed.",3
Orange County,40,"building permits, inspections, and local ordinances","['road', 'street', 'naming', 'reserved', 'names', 'shall', 'approval', 'directional', 'confirmation', 'roads']",,"['Developers', 'Property owners', 'Residents']","Orange County outlines guidelines and procedures for reserving and approving road names for new developments, requiring adherence to the 2011 Road Naming and Addressing Ordinance.",3
Orange County,41,uncategorized initiatives,"['foster', 'fostering', 'dog', 'capacity', 'forever', 'lives', 'shelter', 'dogs', 'number', 'pets']",,"['Animals in shelters', 'Prospective foster parents', 'Dog owners']","Orange County's Dog Foster Program partners with the public to provide temporary shelter and care for dogs, increasing shelter capacity, improving pet well-being, and acting as a bridge to forever homes. The program details foster responsibilities and county support.",3
Orange County,42,uncategorized initiatives,"['pet', 'choice', 'veterinarian', 'care', 'pets', 'consider', 'family', 'life', 'veterinary', 'wild']",,"['Prospective pet owners', 'Pet owners', 'Pets']","Orange County provides guidance for prospective pet owners on selecting a suitable pet, advising considerations such as lifestyle, commitment, and costs, with an emphasis on regular veterinary care and discouraging wild animals as pets.",3
Orange County,43,affordable housing and zoning,"['landlord', 'eha', 'court', 'approve', 'eviction', 'summons', 'changing', 'helpline', 'housing', 'papers']",,"['landlords', 'tenants', 'EHA applicants', 'court system']","This initiative outlines the process for emergency housing assistance (EHA) applications, including landlord notification and protection against eviction during the application period.",3
Orange County,44,uncategorized initiatives,"['tue', '23', 'events', '24', 'wed', '28', '14', 'thu', 'mon', '11']",,['community members'],"This topic provides information on upcoming events and meetings for the Register of Deeds, showing a calendar with no published events for the current month.",3
Orange County,45,affordable housing and zoning,"['housing', 'refugee', 'homeowners', 'assistance', 'including', 'continuation', 'streamlined', 'repair', 'support', 'survivors']",,"['displaced survivors', 'homeowners', 'refugees']","This initiative focuses on housing support programs, including emergency housing assistance, assistance for displaced survivors, and rehabilitation/preservation of housing for homeowners.",3
Orange County,46,uncategorized initiatives,"['website', 'edit', 'directory', 'subscriptions', 'progress', 'notification', 'manage', 'save', 'account', 'create']",,"['website users', 'community members']","This topic describes how to create a website account to manage notification subscriptions and save form progress, and provides staff directory information.",3
Orange County,47,"parks, recreation, and public art","['feet', 'fit', 'seniors', 'problems', 'wellness', 'nails', 'foot', 'program', 'exercise', 'participate']",,"['seniors', 'program participants']","This initiative addresses the Fit Seniors program, which involves physical activity and foot care advice, recommending participants consult a physician before joining.",3
Orange County,48,uncategorized initiatives,"['sign', 'password', 'characters', 'microsoft', 'external', 'apple', 'account', 'identity', 'google', 'provider']",,['website users'],"This topic describes methods for creating or signing into a website account using external identity providers like Apple, Facebook, Google, and Microsoft.",3
Orange County,49,climate action and clean energy,"['sustainability', 'climate', 'action', 'energy', 'email', 'mel', 'amy', 'nabors', 'karina', 'gilles']",,"['community members', 'businesses', 'environment', 'future generations']","This initiative details Orange County's sustainability efforts, including reducing waste, expanding clean energy, promoting climate resilience, and offering community programs and grants related to climate action.",3
Orange County,50,"police, fire, and emergency response","['hearing', 'appeal', 'dangerous', 'declared', 'review', 'panel', 'owner', 'animal', 'declarations', 'declaration']",,"['animal owners', 'general public', 'Animal Services']","This initiative outlines the procedures for declaring an animal dangerous, including the appeal process through an Animal Services Hearing Panel Pool and subsequent appeal options to Superior Court.",3
